         1157601 function calls in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.274    0.274    0.526    0.526 PE50_v1.py:28(longest_sum_of_consecutive_primes)
    78526    0.247    0.000    0.247    0.000 {built-in method builtins.sum}
  1000570    0.242    0.000    0.242    0.000 {built-in method rs_extension.is_prime}
        1    0.147    0.147    0.389    0.389 PE50_v1.py:24(<listcomp>)
    78499    0.005    0.000    0.005    0.000 {built-in method builtins.len}
        1    0.001    0.001    0.001    0.001 {built-in method builtins.print}
        1    0.000    0.000    0.916    0.916 PE50_v1.py:44(main)
        1    0.000    0.000    0.389    0.389 PE50_v1.py:23(generate_primes)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


